,date,job_title,company,location,keyword,link
0,2020-02-21,Psychiatrist,Saskdocs,"Prince Albert, SK",Accomodation,https://www.jobs.ca/offer/psychiatrist/63a0ca67-653f-41b8-8bb5-d27062ed7fea/
1,2020-11-12,"Advisor, Sales and Customer Service, Maskatel",Bell,"Saint-Hyacinthe, QC",Accomodation,https://www.jobs.ca/offer/advisor-sales-and-customer-service-maskatel/55d38304-66af-46ed-a592-29006f377134/
2,2020-10-13,Producer,Eastlink,"Simcoe, ON",Broadcasting,https://www.jobs.ca/offer/producer/bac3c914-005b-49e4-ac7f-3306c58c5b8d/
3,2020-12-17,"Video Graphic Artist, Part Time,CTV Winnipeg, Bell Media",Bell,"Winnipeg, MB",Broadcasting,https://www.jobs.ca/offer/video-graphic-artist-part-time-ctv-winnipeg-bell-media/537623c8-70ea-4c8c-954f-f9c1a22a62d3/
4,2020-11-06,Producer,Eastlink,"Sydney, NS",Broadcasting,https://www.jobs.ca/offer/producer/a83a1f9f-7213-49a8-9734-0b0e119fa658/
5,2020-10-06,Technical Producer,Eastlink,"Halifax, NS",Broadcasting,https://www.jobs.ca/offer/technical-producer/d9c421a5-11dd-40ed-9fb4-340bc62b129c/
6,2020-12-04,Customer Success Manager,Hootsuite,"Vancouver, BC",Publishing,https://www.jobs.ca/offer/customer-success-manager/abc11f34-d8da-4156-8c4d-b07643536473/
7,2020-12-21,Channel Development Specialist,BBTV,"Vancouver, BC",Publishing,https://www.jobs.ca/offer/channel-development-specialist/74a74051-f7cc-4b50-af04-a73391125163/
8,2020-12-19,Digital Media Associate,Shared Health,"United States, US",Publishing,https://www.jobs.ca/offer/digital-media-associate/b22089bc-7443-40f1-853a-430315f8e6a9/
9,2020-12-12,Digital Media Marketing Specialist,PAL Airlines,"Moncton, NB",Publishing,https://www.jobs.ca/offer/digital-media-marketing-specialist/8d34a4ee-0dc5-4f7a-a07b-a406648b3757/
10,2020-11-27,Admin Assistant,CBI Health Group,"Bridgewater, NS",Publishing,https://www.jobs.ca/offer/admin-assistant/084a4541-928a-49ef-8c75-5f10512cb6d5/
11,2020-07-21,Admin Assistant,CBI Health Group,"Upper Tantallon, NS",Publishing,https://www.jobs.ca/offer/admin-assistant/a86da3a1-1413-424f-b369-6ae3e6850b21/
