date,job_title,company,location,category,link
2020-11-16,"Legal Assistant, Litigation",Mouvement Desjardins,"Levis, QC",Paralegal,https://www.paralegaljobs.ca/offer/qc/levis/legal-assistant-litigation/0bc8dd64-908e-4b5e-976c-05067236582a/
2020-11-14,"Manager, Board Services",Scotiabank,"Toronto, ON",Paralegal,https://www.paralegaljobs.ca/offer/on/toronto/manager-board-services/e05bcce6-6a69-435f-81fb-bd0096fb48ef/
2020-11-13,Corporate Law Clerk,Nelligan O'Brien Payne,"Ottawa, ON",Paralegal,https://www.paralegaljobs.ca/offer/on/ottawa/corporate-law-clerk/66a78ae7-fd35-4343-a252-21dbc0e3fbaa/
2020-11-13,Bilingual legal data entry officers,Bray Larouche,"Montreal, QC",Paralegal,https://www.paralegaljobs.ca/offer/qc/montreal/bilingual-legal-data-entry-officers/fa46aa68-4088-4a0b-b565-09e05fe035b9/
2020-11-09,Legal Secretary,Workers' Compensation Board- Alberta,"Edmonton, AB",Paralegal,https://www.paralegaljobs.ca/offer/ab/edmonton/legal-secretary/934177b7-e0d3-48fd-8f41-20b3905584d4/
2020-11-05,Legal and Compliance Coordinator,Croix Bleue Medavie,"Charlottetown, PE",Paralegal,https://www.paralegaljobs.ca/offer/pe/charlottetown/legal-and-compliance-coordinator/1bc3b0f3-d6e8-436a-895e-a6e2a65feee9/
2020-11-05,Real Estate Manager,Parkland,"Vancouver, BC",Paralegal,https://www.paralegaljobs.ca/offer/bc/vancouver/real-estate-manager/030cf846-3b51-4991-8910-12fa0f2bbfc8/
2020-11-03,Legal Assistant,RSA Canada,"Mississauga, ON",Paralegal,https://www.paralegaljobs.ca/offer/on/mississauga/legal-assistant/6c9adbcc-21a6-4b3a-8917-37b62ec3d6f3/
2020-10-30,Head of Corporate Social Responsibility (Australia),Norton Rose Canada,"Melbourne, ON",Paralegal,https://www.paralegaljobs.ca/offer/on/melbourne/head-of-corporate-social-responsibility-australia/a01d3e66-9879-4cf5-afeb-0e055075ab05/
2020-10-30,Legal Counsel (Commercial Financing and/or Default Management ),Canada Mortgage and Housing Corporation (CMHC),"Montreal, QC",Paralegal,https://www.paralegaljobs.ca/offer/qc/montreal/legal-counsel-commercial-financing-and-or-default-management/ddcb6c79-88e2-4135-8cba-c3c8c7e69cd5/
2020-10-27,"Senior Legal Counsel, Global Asset Management",Scotiabank,"Toronto, ON",Paralegal,https://www.paralegaljobs.ca/offer/on/toronto/senior-legal-counsel-global-asset-management/c22e11f7-833b-4009-8058-59e9bf02ed6e/
2020-10-25,Litigation Associate & Paralegal,The Employment Office,"Calgary, AB",Paralegal,https://www.paralegaljobs.ca/offer/ab/calgary/litigation-associate-paralegal/1a143c89-18d7-4515-8823-03b3fae965f6/
2020-10-23,Paralegal,Enchant Christmas,"Vancouver, BC",Paralegal,https://www.paralegaljobs.ca/offer/bc/vancouver/paralegal/d9fe9f4b-b791-4044-a048-c3365bb9ea6d/
2020-10-20,Paralegal,Jubilant DraxImage inc.,"Kirkland, QC",Paralegal,https://www.paralegaljobs.ca/offer/qc/kirkland/paralegal/e53b33a6-8e44-4e7b-aced-73e77a8af5ec/
2020-07-09,"Legal Counsel, Securities and Charity Law",Canadian Medical Association,"Ottawa, ON",Paralegal,https://www.paralegaljobs.ca/offer/on/ottawa/legal-counsel-securities-and-charity-law/727b6e93-befa-45b5-9874-d053d0b0a600/
2020-04-28,Legal Assistant,Litwiniuk & Company,"Calgary, AB",Paralegal,https://www.paralegaljobs.ca/offer/ab/calgary/legal-assistant/29ea6f45-c5c0-4e58-adcf-b1e0add9be93/
2020-04-28,Legal Assistant - Floater,Litwiniuk & Company,"Calgary, AB",Paralegal,https://www.paralegaljobs.ca/offer/ab/calgary/legal-assistant-floater/bcf4b26d-b562-484f-8493-5ac9f80247b3/
2020-11-16,Customer Success Team Lead,Loadlink Technologies,"Mississauga, ON",Call Centre,https://www.callcentrejob.ca/offer/on/mississauga/customer-success-team-lead/12768e5a-8b75-48e8-8354-d3e2ec6c482e/
2020-11-16,Client support centre agent,"Immigration, Refugees and Citizenship Canada / IRCC","Montreal, QC",Call Centre,https://www.callcentrejob.ca/offer/qc/montreal/client-support-centre-agent/bdb7f2f7-7355-429e-8678-e0a9d3184ed3/
2020-11-16,Customer Service Representative - English,"TTEC Canada Solutions, Inc.","Montreal, QC",Call Centre,https://www.callcentrejob.ca/offer/qc/montreal/customer-service-representative-english/454a4d2f-421d-4700-b074-4d27af6f90b7/
2020-11-16,Customer Care Representative – Fitness – Virtual Training,"TTEC Canada Solutions, Inc.","Montreal, QC",Call Centre,https://www.callcentrejob.ca/offer/qc/montreal/customer-care-representative-fitness-virtual-training/25cb3239-7b91-4236-a0c5-38aa0d561843/
2020-11-16,Bilingual English/French Automotive Customer Service Representative - Work from Home,"TTEC Canada Solutions, Inc.","Montreal, QC",Call Centre,https://www.callcentrejob.ca/offer/qc/montreal/bilingual-english-french-automotive-customer-service-representative-work-from-home/f2a648a8-8c5d-4349-a97c-acf24f556e6f/
2020-11-16,Customer Service Representative – Work from Home - Canada,"TTEC Canada Solutions, Inc.","Montreal, QC",Call Centre,https://www.callcentrejob.ca/offer/qc/montreal/customer-service-representative-work-from-home-canada/7b17e963-5685-40e4-b450-06c3331e72a9/
2020-11-15,Sales/Customer Service Coordinator - SCS Canada,Polygon Security,"Boisbriand, QC",Call Centre,https://www.callcentrejob.ca/offer/qc/boisbriand/sales-customer-service-coordinator-scs-canada/2de93775-6d04-4b22-ba02-8ce4b12d9f45/
2020-11-14,"Bilingual Customer Care Supervisor, Alarmforce",Bell,"Toronto, ON",Call Centre,https://www.callcentrejob.ca/offer/on/toronto/bilingual-customer-care-supervisor-alarmforce/16f53ef9-0e93-4c9b-834f-76c3ff5304e2/
2020-11-14,"Project Manager, Small Business and Regional Customer Experience",Bell,"Toronto, ON",Call Centre,https://www.callcentrejob.ca/offer/on/toronto/project-manager-small-business-and-regional-customer-experience/110f2c28-d314-4565-8cd3-58a9d74cffe5/
2020-11-14,"Call Center, Central Station Alarm Operator (Contract), Aaa",Bell,"Winnipeg, MB",Call Centre,https://www.callcentrejob.ca/offer/mb/winnipeg/call-center-central-station-alarm-operator-contract-aaa/a5338432-bbb4-4a2c-90d9-01fec9e95341/
2020-11-07,"Bilingual (French/English) Customer Care Advisor- Halifax,NS",Scotiabank,"Halifax, NS",Call Centre,https://www.callcentrejob.ca/offer/ns/halifax/bilingual-french-english-customer-care-advisor-halifax-ns/82c937f0-cc82-408d-a55b-b36a3291fefd/
2020-11-07,"Customer Representative - Mail Champlain, QC (18.75 hours)",Scotiabank,"Brossard, QC",Call Centre,https://www.callcentrejob.ca/offer/qc/brossard/customer-representative-mail-champlain-qc-1875-hours/6b4c4553-1fcd-4689-a99a-54955d1d36ae/
2020-11-07,"Customer Care Representative, Alarmforce",Bell,"Toronto, ON",Call Centre,https://www.callcentrejob.ca/offer/on/toronto/customer-care-representative-alarmforce/12a3c348-f3b3-4480-95be-1aca2b76380b/
2020-11-07,Data Entry Support Representative / Agent(e) à l'entrée des données,Purolator,"Etobicoke, ON",Call Centre,https://www.callcentrejob.ca/offer/on/etobicoke/data-entry-support-representative-agent-e-a-l-entree-des-donnees/44d7c2b6-95da-4dad-9ee1-82c760ab4797/
2020-11-07,"Client Administrator - Toronto, ON",Scotiabank,"Toronto, ON",Call Centre,https://www.callcentrejob.ca/offer/on/toronto/client-administrator-toronto-on/ecb5836e-467e-4239-a941-431e3ecb044a/
2020-11-06,"Technical Support Representative, Alarmforce",Bell,"Toronto, ON",Call Centre,https://www.callcentrejob.ca/offer/on/toronto/technical-support-representative-alarmforce/2bd32de1-0290-4521-b830-dab844a83bae/
2020-11-06,Customer Service Representative,Centurion Asset Management,"Calgary, AB",Call Centre,https://www.callcentrejob.ca/offer/ab/calgary/customer-service-representative/665c943a-a295-49c2-b8d1-3a772afae0b7/
2020-11-06,Customer Service Representative - Brampton,University Health Network,"Brampton, ON",Call Centre,https://www.callcentrejob.ca/offer/on/brampton/customer-service-representative-brampton/6faef952-5854-403b-940c-790cd0605f68/
2020-11-06,Seasonal Customer Experience Representative,Indigo,"Halifax, NS",Call Centre,https://www.callcentrejob.ca/offer/ns/halifax/seasonal-customer-experience-representative/8682a14e-1232-4797-bc61-8a071ab9ee8f/
2020-11-06,Seasonal Customer Experience Representative,Indigo,"West Vancouver, BC",Call Centre,https://www.callcentrejob.ca/offer/bc/west-vancouver/seasonal-customer-experience-representative/7af09a01-4d76-4e14-ad6d-45a7f2eca397/
2020-11-14,Customer Success Manager,Bell,"Mississauga, ON",Call Centre,https://www.callcentrejob.ca/offer/on/mississauga/customer-success-manager/4ccd03f8-8238-475b-b913-ca0546e52231/
2020-11-13,Seasonal Customer Experience Representative,Indigo,"Amherst, NS",Call Centre,https://www.callcentrejob.ca/offer/ns/amherst/seasonal-customer-experience-representative/592946f4-287e-43e1-b5b0-be3c6d9e447b/
2020-11-13,Seasonal Customer Experience Representative,Indigo,"Sarnia, ON",Call Centre,https://www.callcentrejob.ca/offer/on/sarnia/seasonal-customer-experience-representative/07e7af99-c323-4f7b-ac2b-b0d529b750a8/
2020-11-13,Customer Experience Leader,Indigo,"Brandon, MB",Call Centre,https://www.callcentrejob.ca/offer/mb/brandon/customer-experience-leader/781a8308-fac8-4605-93eb-3b7ae714b4e9/
2020-11-13,Sales and Support Agent (Vancouver or Toronto),Aurora Cannabis,"Vancouver, BC",Call Centre,https://www.callcentrejob.ca/offer/bc/vancouver/sales-and-support-agent-vancouver-or-toronto/7090bbed-6cc9-40eb-b580-05aa551844ae/
2020-11-13,Registration Agent (Whistler/Pemberton),Aurora Cannabis,"Whistler, BC",Call Centre,https://www.callcentrejob.ca/offer/bc/whistler/registration-agent-whistler-pemberton/3d472488-2eae-47f8-9c91-75ed63b43c8f/
2020-11-13,Customer Service Representative,Xplornet,"Fredericton, NB",Call Centre,https://www.callcentrejob.ca/offer/nb/fredericton/customer-service-representative/7791a08b-ef1f-4681-adfb-e6cda0727536/
2020-11-13,Customer Experience Manager - Chapters South London,Indigo,"London, ON",Call Centre,https://www.callcentrejob.ca/offer/on/london/customer-experience-manager-chapters-south-london/29c0ff39-4f6d-429f-a373-ac0d683d3ca3/
2020-11-13,Seasonal Customer Experience Representative,Indigo,"Saskatoon, SK",Call Centre,https://www.callcentrejob.ca/offer/sk/saskatoon/seasonal-customer-experience-representative/72641f15-d388-4dc1-bce8-14db95849503/
2020-11-13,Sfu Dispatcher,GardaWorld,"Burnaby, BC",Call Centre,https://www.callcentrejob.ca/offer/bc/burnaby/sfu-dispatcher/03373ab7-b9c6-462e-91b2-377ba888fd16/
2020-11-12,Seasonal Customer Experience Representative,Indigo,"Brandon, MB",Call Centre,https://www.callcentrejob.ca/offer/mb/brandon/seasonal-customer-experience-representative/a28314b9-86ca-4a7c-a8ed-336622c9a293/
2020-11-12,Seasonal Customer Experience Representative - Operations,Indigo,"Regina, SK",Call Centre,https://www.callcentrejob.ca/offer/sk/regina/seasonal-customer-experience-representative-operations/191d8d6b-a523-4187-993e-6e54459f64cc/
2020-11-12,Customer Experience Representative,Indigo,"Cobourg, ON",Call Centre,https://www.callcentrejob.ca/offer/on/cobourg/customer-experience-representative/1b941792-a7c0-49d5-b9c6-45970ece9744/
2020-11-12,Customer Experience Leader,Indigo,"Cobourg, ON",Call Centre,https://www.callcentrejob.ca/offer/on/cobourg/customer-experience-leader/ac85ba19-9685-4bce-bd43-71169efa70bd/
2020-11-12,Seasonal Customer Experience Representative,Indigo,"Nepean, ON",Call Centre,https://www.callcentrejob.ca/offer/on/nepean/seasonal-customer-experience-representative/4a10fd60-5bfd-4c19-82bd-a584f303e2a5/
2020-11-12,Seasonal Customer Experience Representative,Indigo,"Brantford, ON",Call Centre,https://www.callcentrejob.ca/offer/on/brantford/seasonal-customer-experience-representative/996feb9c-598a-4f05-9b36-8a7b83c923d7/
2020-11-12,Manager of Operations and Customer Support.,CBI Health Group,"London, ON",Call Centre,https://www.callcentrejob.ca/offer/on/london/manager-of-operations-and-customer-support/76f1b58b-0761-4e5e-9178-1dfeb254134f/
2020-11-12,"Cashier Assistant/Front End Support Team Member (Support with Sanitation Duties, Customer Service), Part Time",Whole Foods Market,"Victoria, BC",Call Centre,https://www.callcentrejob.ca/offer/bc/victoria/cashier-assistant-front-end-support-team-member-support-with-sanitation-duties-customer-service-part-time/0ca06ac7-cfcd-4277-9c3c-af19761ab7d2/
2020-11-12,"Customer Service Supervisor - 381 Boul Maloney Est, Gatineau, QC ( 26.25 hours)",Scotiabank,"Gatineau, QC",Call Centre,https://www.callcentrejob.ca/offer/qc/gatineau/customer-service-supervisor-381-boul-maloney-est-gatineau-qc-2625-hours/85437d6e-e539-4d3d-966e-f02ab001ec8e/
2020-11-12,Bilingual Senior Customer Service Representative – Diagnostics Division (mississauga),Abbott,"Mississauga, ON",Call Centre,https://www.callcentrejob.ca/offer/on/mississauga/bilingual-senior-customer-service-representative-diagnostics-division-mississauga/632a991a-c670-4c58-af57-f36f7d9afeb4/
2020-11-03,Customer Experience Representative,Indigo,"Fredericton, NB",Call Centre,https://www.callcentrejob.ca/offer/nb/fredericton/customer-experience-representative/5115b4c5-53b5-465b-9d48-1668da443579/
2020-11-03,Agent - Full-time Opportunity,Prospera Credit Union,"New Westminster, BC",Call Centre,https://www.callcentrejob.ca/offer/bc/new-westminster/agent-full-time-opportunity/a9e6cc26-2291-42a5-9e89-e41967868577/
2020-11-03,Member Advisor,First West Credit Union,"Surrey, BC",Call Centre,https://www.callcentrejob.ca/offer/bc/surrey/member-advisor/672ffc79-0a6d-4c45-a9de-b33924a98634/
2020-11-03,"Customer Service Representative - Fort McMurray, AB (Future Opportunities)",Scotiabank,"Fort McMurray, AB",Call Centre,https://www.callcentrejob.ca/offer/ab/fort-mcmurray/customer-service-representative-fort-mcmurray-ab-future-opportunities/5f695ee3-8dd4-4049-a945-d2b27af582aa/
2020-11-03,"Manager, Collections & Customer Service (Hamilton,ON)",Scotiabank,"Hamilton, ON",Call Centre,https://www.callcentrejob.ca/offer/on/hamilton/manager-collections-customer-service-hamilton-on/898a0383-bc16-4ee3-af22-ee13726ada94/
2020-11-03,"Customer Service Representative - Lloydminster, AB (Future Opportunities)",Scotiabank,"Lloydminster, AB",Call Centre,https://www.callcentrejob.ca/offer/ab/lloydminster/customer-service-representative-lloydminster-ab-future-opportunities/04afe7c0-8711-4ce6-9817-260b27436486/
2020-11-03,"Bilingual Customer Care Representative, Alarmforce",Bell,"Toronto, ON",Call Centre,https://www.callcentrejob.ca/offer/on/toronto/bilingual-customer-care-representative-alarmforce/bbab3c38-1d78-468c-97b5-759e4abc34d1/
2020-11-03,Security Dispatcher,Securiguard,"Vancouver, BC",Call Centre,https://www.callcentrejob.ca/offer/bc/vancouver/security-dispatcher/8cb5fe85-351b-413f-aa2d-0755aca588a2/
2020-11-03,"Customer Experience Lead - Nackawic, NB",Scotiabank,"Nackawic, NB",Call Centre,https://www.callcentrejob.ca/offer/nb/nackawic/customer-experience-lead-nackawic-nb/7f9fd7fb-b873-4afe-a049-37cc94088c82/
2020-11-03,"Commercial Security Guard, Customer Service",GardaWorld,"Toronto, ON",Call Centre,https://www.callcentrejob.ca/offer/on/toronto/commercial-security-guard-customer-service/36df6566-71c4-4320-b4aa-28a89a7cf4a1/
2020-11-14,"Call Center - Bilingual Central Station Alarm Supervisor (Contract), Aaa",Bell,"Winnipeg, MB",Call Centre,https://www.callcentrejob.ca/offer/mb/winnipeg/call-center-bilingual-central-station-alarm-supervisor-contract-aaa/43fa77ae-8dc7-4e3d-a3f1-5622eb610004/
2020-11-14,Customer Support Advocate,Hootsuite,"Vancouver, BC",Call Centre,https://www.callcentrejob.ca/offer/bc/vancouver/customer-support-advocate/824ab521-8ec5-4855-bc0f-56e1beaa499f/
2020-11-14,Customer Representative Islington & Rexdale 15 hours - 18 month contract,Scotiabank,"Toronto, ON",Call Centre,https://www.callcentrejob.ca/offer/on/toronto/customer-representative-islington-rexdale-15-hours-18-month-contract/b6e3e2c9-134f-414f-a694-5a345f30a12e/
2020-11-14,Customer Representative - Weston Road & Eglinton - 22.50 hours Contract 18 months,Scotiabank,"Toronto, ON",Call Centre,https://www.callcentrejob.ca/offer/on/toronto/customer-representative-weston-road-eglinton-2250-hours-contract-18-months/a9227e0d-9a4b-4363-a017-ebdedb627318/
2020-11-14,"Customer Representative (6 Month Contract) - Lancaster, Red Deer, AB (30 Hours)",Scotiabank,"Red Deer, AB",Call Centre,https://www.callcentrejob.ca/offer/ab/red-deer/customer-representative-6-month-contract-lancaster-red-deer-ab-30-hours/f54bb2ff-d600-4378-a239-117144a8a549/
